product_name,brand,category,features,price
iPhone 13 Pro,Apple,Smartphone,128GB 5G OLED,1299.99
Samsung Galaxy S22,Samsung,Smartphone,128GB 5G AMOLED,999.99
MacBook Air M2,Apple,Laptop,256GB SSD M2,1499.99
Redmi Note 11,Xiaomi,Smartphone,64GB 4G IPS LCD,299.99
Lenovo IdeaPad 3,Lenovo,Laptop,512GB SSD Ryzen 5,599.99
HP Pavilion x360,HP,Laptop,256GB SSD Touch,699.99
Asus ROG Strix,Asus,Laptop,1TB SSD RTX 3060,1899.99
Huawei MateBook D14,Huawei,Laptop,512GB SSD Ryzen 7,1099.99
Motorola Edge 30,Motorola,Smartphone,128GB 5G OLED,599.99
Realme GT Neo 3,Realme,Smartphone,256GB 5G AMOLED,749.99
